	sourceTaxonID	scientificName	name	name_uninomial	name_specific_epithet	name_infra_specific_epithet	name_authorship	taxonKey	occCount	countryCode	occCountNL	occCountNLspecimen	occCountNLobservation	occCountNLsince2000	occCountNLsince1950
94	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11179	Acanthocardia aculeata Linnaeus, 1758	Acanthocardia aculeata 	Acanthocardia	aculeata		Linnaeus, 1758	2286548	248	NL	28	2	0	28	28
95	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11334	Acanthocardia echinata (Linnaeus, 1758)	Acanthocardia echinata 	Acanthocardia	echinata		(Linnaeus, 1758)	5189004	2530	NL	152	76	0	152	152
96	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11333	Acanthocardia paucicostata (Sowerby, 1841)	Acanthocardia paucicostata 	Acanthocardia	paucicostata		(Sowerby, 1841)	4372551	77	NL	29	16	1	29	29
97	http://www.nederlandsesoorten.nl/nsr/concept/02A55E8845C4	Acanthocephalus anguillae (Mªller, 1780)	Acanthocephalus anguillae 	Acanthocephalus	anguillae		(Mªller, 1780)	2500461	6	NL	0	0	0	0	0
98	http://www.nederlandsesoorten.nl/nsr/concept/0AAAE6ED4E25	Acanthocephalus clavula (Dujardin, 1845)	Acanthocephalus clavula 	Acanthocephalus	clavula		(Dujardin, 1845)	2500479	0	NL	1	1	0	1	1
99	http://www.nederlandsesoorten.nl/nsr/concept/097BDABF44C6	Acanthocephalus lucii (Mªller, 1776)	Acanthocephalus lucii 	Acanthocephalus	lucii		(Mªller, 1776)	2500440	19	NL	1	1	0	1	1
100	http://www.nederlandsesoorten.nl/nsr/concept/07771CB04493	Acanthocephalus ranae (Schrank, 1788)	Acanthocephalus ranae 	Acanthocephalus	ranae		(Schrank, 1788)	2500476	114	NL	0	0	0	0	0
101	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11125	Acanthochitona crinita (Pennant, 1777)	Acanthochitona crinita 	Acanthochitona	crinita		(Pennant, 1777)	2305904	595	NL	1	0	0	0	0
102	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBROUJK	Acanthocinus aedilis (Linnaeus, 1758)	Acanthocinus aedilis 	Acanthocinus	aedilis		(Linnaeus, 1758)	1102093	2703	NL	13	0	0	0	0
103	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAQDCXG	Acanthococcus aceris Signoret, 1875	Acanthococcus aceris 	Acanthococcus	aceris		Signoret, 1875	4776193	0	NL	0	0	0	0	0
104	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04228	Acanthocyclops robustus Sars, 1863	Acanthocyclops robustus 	Acanthocyclops	robustus		Sars, 1863	2116772	873	NL	115	0	0	0	0
105	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04232	Acanthocyclops sensitivus (Graeter & Chappuis, 1914)	Acanthocyclops sensitivus 	Acanthocyclops	sensitivus		(Graeter & Chappuis, 1914)	4327170	4	NL	2	0	0	0	0
106	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04231	Acanthocyclops venustus (Norman & Scott, 1906)	Acanthocyclops venustus 	Acanthocyclops	venustus		(Norman & Scott, 1906)	2116771	15	NL	0	0	0	0	0
107	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI04230	Acanthocyclops vernalis (Fischer, 1853)	Acanthocyclops vernalis 	Acanthocyclops	vernalis		(Fischer, 1853)	2116777	766	NL	377	0	0	0	0
108	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAPTGFM	Acanthodelphax denticauda (Boheman, 1847)	Acanthodelphax denticauda 	Acanthodelphax	denticauda		(Boheman, 1847)	2056598	46	NL	0	0	0	0	0
109	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAPTHGQ	Acanthodelphax spinosa (Fieber, 1866)	Acanthodelphax spinosa 	Acanthodelphax	spinosa		(Fieber, 1866)	5982841	96	NL	6	0	0	0	0
110	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI11101	Acanthodoris pilosa (Abildgaard, 1789)	Acanthodoris pilosa 	Acanthodoris	pilosa		(Abildgaard, 1789)	2292107	1156	NL	2	0	0	0	0
111	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI03844	Acantholeberis curvirostris (O. F. Mªller, 1776)	Acantholeberis curvirostris 	Acantholeberis	curvirostris		(O. F. Mªller, 1776)	2234607	660	NL	3	0	0	0	0
112	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAWUBUU	Acantholyda erythrocephala (Linnaeus, 1758)	Acantholyda erythrocephala 	Acantholyda	erythrocephala		(Linnaeus, 1758)	1248774	68	NL	3	0	0	0	0
113	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAWUCRB	Acantholyda flaviceps (Retzius, 1783)	Acantholyda flaviceps 	Acantholyda	flaviceps		(Retzius, 1783)	4492349	9	NL	0	0	0	0	0
114	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAWUDNH	Acantholyda hieroglyphica (Christ, 1791)	Acantholyda hieroglyphica 	Acantholyda	hieroglyphica		(Christ, 1791)	4492356	25	NL	0	0	0	0	0
115	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAWUEJO	Acantholyda laricis (Giraud, 1861)	Acantholyda laricis 	Acantholyda	laricis		(Giraud, 1861)	4492363	0	NL	0	0	0	0	0
116	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFAWUFFV	Acantholyda posticalis (Matsumura, 1912)	Acantholyda posticalis 	Acantholyda	posticalis		(Matsumura, 1912)	4492358	93	NL	1	0	0	0	0
117	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASEGSZ	Acanthonitschkea tristis (Pers.:Fr.) Nannf.	Acanthonitschkea tristis 	Acanthonitschkea	tristis		(Pers.:Fr.) Nannf.	2577513	66	NL	0	0	0	0	0
118	http://www.nederlandsesoorten.nl/nsr/concept/0FHCYFASETVN	Acanthophiobolus helicosporus (Berk. & Broome) J. Walker	Acanthophiobolus helicosporus 	Acanthophiobolus	helicosporus		(Berk. & Broome) J. Walker	2613737	28	NL	0	0	0	0	0
119	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYSI00172	Acanthopsyche atra (Linnaeus, 1767)	Acanthopsyche atra 	Acanthopsyche	atra		(Linnaeus, 1767)	1853593	520	NL	0	0	0	0	0
120	http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBQOZYV	Acanthoscelides obtectus (Say, 1831)	Acanthoscelides obtectus 	Acanthoscelides	obtectus		(Say, 1831)	1047525	780	NL	10	0	0	0	0
